ulasan,label,pelayanan,fasilitas,wahana,kuliner
kembang fasiltas toilet baik akses jalan,0,0,1,0,0
wisata spenuhnya tiket masuk jaga jaga langsung masuk gratis bayar uang parkir kolam renang anak cowok kolam jrg pakai trkesan lumut hehe anak main air kolam sederhana tidak renang atas jual jajan bawa jajan lokasi,0,0,1,1,1
pandang indah suasana nyamaann,1,0,0,0,0
wisata edukasi sederhana tenang jiwa merana,1,0,0,0,0
wisata trawas sumber air pandang sawah gunung tanggung,1,0,0,0,0
renovasi wisata mandi renang kurang nyaman,0,0,1,1,0
seru enggak titip baju enggak tenang renang,0,0,1,1,0
asyik suasana desa putar gunung udara sejuk,1,0,0,0,0
sejuk indah asli sejuk asri,1,0,0,0,0
bagus banget enak rekreasi keluarga kolam renang cafetaria,1,0,0,1,1
wisata sawah tenang bersih tata enak bawa keluarga kesini,1,0,0,0,0
keliling indonesia,1,0,0,0,0
wisata murah riah,1,0,1,0,0
nyaman kunjung indah bagus tenang rest nyaman gubuk suka kolam renang air jernih segar pokok wajib kunjung weekend,1,0,1,1,0
kak buka renang,1,0,0,1,0
nyaman segar udarae bang jau jalan raya enak santai main sawah,1,0,1,0,0
tempat penuh jajak asli aduh tempat puanas poll,0,0,1,0,0
pandang indah harga makan murah,1,0,0,0,1
nemu kayak mojokerto,1,0,0,0,0
asri,1,0,0,0,0
ramai unjung ppkm moga,1,0,0,0,0
bagus jalan nya baru,0,0,1,0,0
enak ngumpul bareng keluarga teman suasana enak banget,1,0,0,0,0
nyaman wisata keluarga,1,0,0,0,0
cocok keluarga pandang bagus ikan air tawar,1,0,1,0,0
bagus alami sayang nya batu alas kolam renang tajam,0,0,0,1,0
cocok wisata keluarga fasilitas proses bangun,0,0,1,0,0
wisata sawah sumber gempong trawas mojokerto best rice field tourism destination,1,0,0,0,0
nih serius keren sih segar banget cocok ngerefresh otak,1,0,0,0,0
pandang sawah,1,0,0,0,0
bagus unt rekreasi keluarga teman teman sumber air alami segar jernih sila kesini ramai parkir luas harga tiket masuk jangkau,1,0,1,0,0
pandang nya bagus sawah gunung,1,0,0,0,0
mantap wes,1,0,0,0,0
rekreasi keluarga pandang bagus harga pas kantong,1,0,1,0,0
bagus tanggal makan minum,0,0,0,0,1
nyaman cocok keluarga rileksasi,1,0,0,0,0
sejuk banget nya enak the keluarga time,1,0,0,0,0
natural pandang bagus very murah pandang alam bagus murah,1,0,1,0,0
sejuk adem tempat bersih,1,0,1,0,0
pas wisata pandang alam indah udara gunung sejuk,1,0,0,0,0
wisata alam asri pandang sawah kolam renang air sumber alami kaporit,1,0,0,1,0
like suka,1,0,0,0,0
suasana mantab,1,0,0,0,0
wisata gunung lumayan bagus,1,0,0,0,0
tiket murah orang,1,0,1,0,0
wisata tutup,0,0,0,0,0
bagus murah sayang akses jalan sempit batu,0,0,1,0,0
wisata bagus suasana sawah mandi air sumber asli cocok libur keluarga anak anak main,1,0,1,0,0
maksimal,0,0,0,0,0
tidak sopan admin,0,1,0,0,0