ulasan,label,pelayanan,fasilitas,wahana ,kuliner
jalan hancur baru tidak lewat tukang parkir tidak sopan macet,0,1,1,0,0
wahana bagus kereta senang,1,0,0,1,0
makan minum mahal tidak enak jalan hancur tidak lewat,0,0,1,0,1
adminnya tidak ramah tukang parkir tidak sopan,0,1,0,0,0
bagus buat libur keluarga,1,0,0,0,0
kolam sangat kotor cafenya kurang banyak pilih minum makan,0,0,0,1,1
atvnya rusak toilet bau kotor,0,0,1,1,0
makan enak tempat senang kunjung,1,0,0,0,1
kurang tempat teduh cuaca panas sekali,0,0,1,0,0
toilet bersih kolam bagus,1,0,1,1,0
tempat masuk murah sekali puas masuk dalem hati terasa sejuk nyaman menikmati suasana view pegunungan kolam air yg  makan minum diatas harga  termasuk murah mau sana,1,0,0,1,1